iter	Passed	Remaining
765	7260	2217
766	7268	2208
767	7276	2198
768	7284	2188
769	7293	2178
770	7302	2168
771	7309	2158
772	7318	2149
773	7327	2139
774	7335	2129
775	7343	2119
776	7351	2109
777	7361	2100
778	7370	2091
779	7379	2081
780	7387	2071
781	7395	2061
782	7403	2051
783	7411	2041
784	7418	2031
785	7429	2022
786	7439	2013
787	7449	2004
788	7459	1994
789	7468	1985
790	7478	1975
791	7487	1966
792	7499	1957
793	7507	1947
794	7516	1938
795	7526	1928
796	7535	1919
797	7543	1909
798	7551	1899
799	7560	1890
800	7568	1880
801	7576	1870
802	7585	1860
803	7593	1851
804	7601	1841
805	7609	1831
806	7618	1821
807	7626	1812
808	7635	1802
809	7644	1793
810	7653	1783
811	7662	1774
812	7671	1764
813	7680	1754
814	7687	1745
815	7695	1735
816	7704	1725
817	7714	1716
818	7721	1706
819	7729	1696
820	7738	1687
821	7747	1677
822	7755	1668
823	7764	1658
824	7773	1648
825	7781	1639
826	7789	1629
827	7797	1619
828	7806	1610
829	7814	1600
830	7822	1590
831	7830	1581
832	7839	1571
833	7848	1562
834	7857	1552
835	7866	1543
836	7873	1533
837	7882	1523
838	7891	1514
839	7900	1504
840	7908	1495
841	7916	1485
842	7924	1475
843	7932	1466
844	7941	1456
845	7950	1447
846	7961	1438
847	7969	1428
848	7982	1419
849	7991	1410
850	8000	1400
851	8009	1391
852	8019	1381
853	8028	1372
854	8036	1362
855	8045	1353
856	8054	1343
857	8063	1334
858	8071	1324
859	8080	1315
860	8088	1305
861	8096	1296
862	8105	1286
863	8114	1277
864	8123	1267
865	8132	1258
866	8141	1248
867	8148	1239
868	8158	1229
869	8167	1220
870	8190	1213
871	8206	1204
872	8220	1195
873	8235	1187
874	8248	1178
875	8264	1169
876	8275	1160
877	8284	1151
878	8292	1141
879	8300	1131
880	8309	1122
881	8317	1112
882	8326	1103
883	8333	1093
884	8342	1083
885	8350	1074
886	8359	1064
887	8367	1055
888	8376	1045
889	8384	1036
890	8393	1026
891	8400	1017
892	8410	1007
893	8418	998
894	8427	988
895	8436	979
896	8444	969
897	8453	960
898	8460	950
899	8468	940
900	8478	931
901	8487	922
902	8496	912
903	8504	903
904	8512	893
905	8520	883
906	8528	874
907	8536	864
908	8544	855
909	8554	846
910	8561	836
911	8570	826
912	8579	817
913	8588	808
914	8597	798
915	8605	789
916	8613	779
917	8622	770
918	8630	760
919	8639	751
920	8647	741
921	8655	732
922	8663	722
923	8673	713
924	8682	703
925	8691	694
926	8700	685
927	8709	675
928	8717	666
929	8724	656
930	8733	647
931	8741	637
932	8751	628
933	8759	618
934	8768	609
935	8777	600
936	8785	590
937	8793	581
938	8802	571
939	8810	562
940	8818	552
941	8826	543
942	8835	534
943	8843	524
944	8851	515
945	8859	505
946	8869	496
947	8877	486
948	8888	477
949	8898	468
950	8906	458
951	8917	449
952	8926	440
953	8934	430
954	8942	421
955	8951	411
956	8959	402
